Unnamed: 0,title,text,label
0,LAW ENFORCEMENT ON HIGH ALERT Following Threats Against Cops And Whites On 9-11By #BlackLivesMatter And #FYF911 Terrorists [VIDEO],comment expect barack obama member fyf fukyoflag blacklivesmatt movement call lynch hang white peopl cop encourag other radio show tuesday night turn tide kill white peopl cop send messag kill black peopl americaon fyoflag organ call sunshin radio blog show host texa call sunshin fing opinion radio show snapshot fyf lolatwhitefear twitter page pm show urg support call fyf tonight continu dismantl illus white snapshot twitter radio call invit fyfth radio show air pm eastern standard timedur show caller clearli call lynch kill white peoplea minut clip radio show heard provid breitbart texa someon would like refer hannib alreadi receiv death threat result interrupt fyf confer callsan unidentifi black man said mother fker start fing like us bunch nier takin one us roll said caus alreadi roll gang anyway six seven black mother fcker see white person lynch ass let turn tabl conspir cop start lose peopl state emerg specul one two thing would happen bigass r war nier go start backin alreadi get kill fk got lose sunshin could heard say yep true fking true said need turn tabl kid get shot somebodi need becom sacrific sideh said everybodi st whatev like say everybodi differ posit war continu give fk anyway said might well util st turn tabl ner said way start lookin like havin mani casualti causal side instead kill black peopl black live matter mother fker got make matter find mother fker alon snap ass fin hang damn tree take pictur send mother fker need one exampl peopl start watchin turn tabl st said said start trickledown effect said one white person hung flathang start trickledown effect continu black peopl good start trend said get upperhand anoth black man spoke say need kill cop kill us first black male said best method right breitbart texa previous report sunshin upset racist white peopl infiltr disrupt one confer call subsequ releas phone number one infiltr veteran immedi start receiv threaten callson fyoflag movement support allegedli told veteran infiltr publicli post confer call go rape gut pregnant wife fing piec sht unborn creatur hung tree breitbart texa previous encount sunshin sandra bland protest waller counti jail texa said white peopl kill told journalist photograph see nappyass hair head mean one milit negro said protest redneck motherfk murder sandra bland nappi hair like fyf black radic say hold imperi power actual respons terrorist attack septemb th account day report breitbart texa sever websit twitter handl movement palmetto star describ one head organ said youtub video support burn symbol illus superior fals white supremaci like american flag british flag polic uniform ku klux klan hoodssierra mcgrone nocturnu libertu post help young afrikan clean rag oppress post two photo one appear photo black man wipe nake butt american flagfor entir stori breitbart news,1
1,,post vote hillari alreadi,1
2,UNBELIEVABLE! OBAMA’S ATTORNEY GENERAL SAYS MOST CHARLOTTE RIOTERS WERE “PEACEFUL” PROTESTERS…In Her Home State Of North Carolina [VIDEO],demonstr gather last night exercis constitut protect right peac protest order rais issu creat chang loretta lynch aka eric holder skirt,1
3,"Bobby Jindal, raised Hindu, uses story of Christian conversion to woo evangelicals for potential 2016 bid",dozen polit activ pastor came privat dinner friday night hear convers stori uniqu context presidenti polit louisiana gov bobbi jindal travel hinduism protest christian ultim becam call evangel cathol two hour jindal recal talk girl high school want save soul read bibl closet parent would see feel stir watch movi senior year depict jesu cross struck struck hard jindal told pastor son god die sin jindal session christian clergi lead congreg earli presidenti battleground state iowa south carolina part behindthescen effort louisiana governor find polit base could help propel top tier republican candid seek run white hous known gop circl mostli masteri polici issu health care jindal rhode scholar graduat ivi leagu brown univers obviou pool activist support help drive excit outsid home state har religi experi way begun appeal part gop influenti core religi conserv mani yet find favorit among republican eye presidenti race potenti gop candid woo evangel base includ sen rand paul ky ted cruz tex indiana gov mike penc weekend lynchburg mecca sort evangel home liberti univers found rev jerri falwel jindal appear make progress addit dinner pastor deliv wellreceiv call action address christian conserv gather liberti commenc ceremoni talk faith assail said presid obama record attack religi liberti pastor came meet jindal said intim descript experi stood convict take commun said brad sherman solid rock christian church coralvil iowa sherman help former arkansa governor mike huckabe win campaign deleg iowa anoth huckabe admir rev c mitchel brook second baptist church belton sc said jindal commit christian valu compel stori put par huckabe baptist preacher enter polit visit pastor flew lynchburg weekend invit american renew project wellfund nonprofit group encourag evangel christian engag civic arena voter guid getoutthevot drive program train pastor grassroot activ group founder david lane built pastor network polit import state iowa missouri ohio south carolina led trip israel paul other seek make inroad evangel activist group lane invit lynchburg includ donald wildmon retir minist founder american famili associ promin evangel activist group influenc network christian radio station pastor lane organ brought lynchburg met jindal said captur interest recent step forward defend phil robertson patriarch duck dynasti televisionshow famili amid controversi disparag remark made gay interview gq magazin throughout lynchburg visit jindal present will cultur warrior commenc address saturday took caus twin brother whose hgtv realiti seri renov resel hous flip forward cancel last week web site reveal protest samesex marriag democrat nation convent charlott sibl jason david benham liberti graduat attend graduat privat lunch jindal call action anoth demonstr intoler entertain industri guy protest republican parti convent instead cancel show hgtv would probabl given rais jindal said liberti crowd applaud cite hobbi lobbi craft store chain face legal challeng refus provid employe insur coverag contracept requir afford care act member famili own hobbi lobbi becom hero mani religi conserv said moral oppos use certain type birth control consid requir violat first amend right religi freedom famili commit honor lord gener employ pay well minimum wage increas salari four year row even midst endur recess jindal told liberti graduat none matter obama administr pastor came see jindal action governor stori highlight weekend mani way unlik aspir presid activist met piyush jindal born four month parent arriv baton roug la nativ india chang name bobbi young boy adopt name charact favorit televis show bradi bunch decis becom christian told pastor come one moment lightn epiphani instead said happen phase grow small seed plant time jindal recal closest friend grade school gave bibl name emblazon gold cover christma present struck initi unimpress gift jindal told pastor world would spend good money bibl everyon know get one free hotel recal think time gold letter meant couldnt give away return religi educ reach higher plane junior year high school told dinner audienc want ask pretti girl date hallway convers start talk faith god opposit abort girl invit visit church jindal said skeptic set investig fanci claim made girl friend start read bibl closet home unsur parent would react said stir moment saw christ depict cross religi movi bibl exist suddenli seem clearer jindal told pastor jindal dwell subsequ convers catholic year later colleg said immers tradit church touch briefli commenc address note pass best describ evangel cathol mostli sought showcas way share valu christian conserv read word jesu christ realiz true jindal told graduat saturday offer less detail account convers done night pastor use think found god believ accur say found,0
4,SATAN 2: Russia unvelis an image of its terrifying new ‘SUPERNUKE’ – Western world takes notice,rs sarmat missil dub satan replac ss fli mile km per sec rang mile km weapon perceiv part increasingli aggress russia could deliv warhead megaton time power atom bomb drop hiroshima nagasaki libbi plummer gareth davi russia unveil chill pictur largest ever nuclear missil capabl destroy area size franc rs sarmat missil dub satan nato top speed mile km per second design outfox antimissil shield system new sarmat missil could deliv warhead megaton time power atom bomb drop hiroshima nagasaki scroll video russian presid vladimir putin reportedli plan replac countri older ss satan weapon new missil amid string recent disagr west kremlin step rhetor west carri seri manoeuvr infuri politician us uk pictur reveal onlin chief design makeyev rocket design bureau messag post alongsid pictur said accord decre russian govern state defens order plan period makeyev rocket design bureau instruct start design develop work sarmat rs sarmat missil said contain nuclear warhead capabl destroy area size franc texa accord russian news network zvezda own russia ministri defenc weapon also abl evad radar expect rang mile km would allow moscow attack london entir articl click link,1
5,About Time! Christian Group Sues Amazon and SPLC for Designation as Hate Group,say one time someon su southern poverti law centeron tuesday jame kennedi ministri djkm file lawsuit southern poverti law center splc chariti navig organ guidestar amazon defam religi discrimin traffick falsehood splc list djkm hate group guidestar also categor term amazon kept ministri chariti donat program amazon smile embark today journey right terribl wrong dr frank wright presid ceo djkm said statement tuesday knowingli label christian ministri hate group sole subscrib histor christian faith either woefulli uninform will deceit case southern poverti law center lawsuit alleg latter splc label djkm antilgbt hate group opposit samesex marriag transgender fals illeg character chill effect free exercis religion religi free speech peopl faith wright declar given splc opportun retract undertaken legal action seek trial juri peer preserv right law defend religi free speech right american djkm presid concludedth lawsuit laid charg splc guidestar amazonread pjm,1
6,DR BEN CARSON TARGETED BY THE IRS: “I never had an audit until I spoke at the National Prayer Breakfast.”,dr ben carson tell stori happen spoke obama,1
7,HOUSE INTEL CHAIR On Trump-Russia Fake Story: “No evidence of anything” [Video],,1
8,Sports Bar Owner Bans NFL Games…Will Show Only ‘True American’ Sports: ‘I’d like to speak for rural America’ [Video],owner ringl bar locat south white sulphur spring stand behind facebook post critic nfl player take knee nation anthem protest polic brutal post made ringl bar facebook page tuesday night sinc receiv hundr comment share post read ringl bar longer show nfl game allow us air pbr rodeo nascar event whose competitor true american sorri inconveni ringl bar coowner kurt bekeman grew paradis valley publish post said care post turn custom away serious would care nonamerican patron place said bekeman like speak rural america bet see farmer rancher whole countri take knee guy bet find one appreci great nation given think least could give thank countri stand flag anthem wednesday morn major comment support bar love ya mani peopl round said one commenteranoth person critic write ha ha cours nascar protest treatment minor care read krtv,1
9,Latest Pipeline Leak Underscores Dangers Of Dakota Access Pipeline,file sept file photo marker welcom commut cush okla seen ap phototh oklahoman matt strasen file underscor danger america unreli fossil fuel infrastructur signific us oil pipelin shut leak report monday morn enterpris product partner said monday shut seaway crude pipelin barrel per day conduit transport crude oil cush oklahoma gulf coast refineri leak occur sunday night industri area cush compani provid estim volum spill said danger public seaway personnel continu make progress clean spill substanti contain retent pond enbridg facil compani said news releas pdf explain pipelin joint ventur enterpris enbridg inc vacuum truck use recov crude oil return storag tank onsit impact segment legaci pipelin capac barrel releas ad howev actual amount crude oil releas significantli less wont determin recoveri effort complet incid come anoth pipelin ruptur pennsylvania earli friday gallon gasolin pour susquehanna river one month major gasolin pipelin run coloni pipelin co halt pump coupl week due spill alabama meanwhil upi report releas seaway pipelin second associ cush storag hub less month plain american pipelin report problem infrastructur colorado citi texa cush earlier month environmentalist indigen peopl energi compani midst heat debat pipelin safeti water protector alli along propos rout dakota access pipelin dapl say month project threaten right safe drink water oil pipelin break spill leakit question question yearold anna lee rain yellowhamm member stand rock sioux tribe wrote recent appeal high chanc pipelin leak wrote enbridgeback dapl guess oil industri keep push doesnt care health safeti industri seem think live expend other inde refer cush leak one observ tweet monday that scream nodapl alway break seaway crude pipelin system shut cush ok spill that scream nodapl alway break deanna rill deannaril octob,1
